Title,Author,Runtime,Price,Language,Release Date,Rating
Tough Topics,K Kopp,4 hrs and 51 mins,$13.99,English,04-18-25,Not rated yet
Consumed by Fire,Charlene Hartnady,8 hrs and 17 mins,$19.95,English,04-17-25,Not rated yet
茶经 [The Classic of Tea],"陆羽, 北京国之学文化有限公司",4 hrs and 51 mins,$19.95,Mandarin Chinese,12-24-24,4.5
Sons of Valor IV: False Flag,"Brian Andrews, Jeffrey Wilson",11 hrs and 30 mins,$19.73,English,07-22-25,Not rated yet
Unrestrained Healer,Jonathan Brooks,14 hrs and 30 mins,$24.95,English,04-07-25,5
"Love, Mom",Iliana Xander,9 hrs and 37 mins,$19.95,English,02-11-25,4.5
Five Golden Coins Vol. 1,M.E. Thorne,13 hrs,$48.99,English,04-15-25,5
Rider's Dragon: The Complete Omnibus,Deacon Frost,43 hrs and 31 mins,$61.25,English,04-15-25,5
Magical Midlife Challenge (Dramatized Adaptation),K.F. Breene,9 hrs and 38 mins,$20.00,English,04-18-25,5
Cripps the Carrier,Richard Doddridge Blackmore,13 hrs and 39 mins,$24.95,English,04-01-25,Not rated yet
The Bachelors' Club,Israel Zangwill,9 hrs and 39 mins,$19.95,English,04-01-25,Not rated yet
All the Skills 5: A Deck-Building LitRPG,Honour Rae,11 hrs and 12 mins,$33.90,English,03-25-25,5
Rhythm of War,Brandon Sanderson,57 hrs and 26 mins,$41.24,English,11-17-20,5
The Forty Five Guardsmen,Alexandre Dumas,15 hrs and 30 mins,$24.95,English,02-05-25,Not rated yet
You Killed Me First,John Marrs,9 hrs and 44 mins,$30.09,English,03-04-25,4.5
Cell Phone and Screen Addiction Mastery: A 12-Step Guide to Get back Your Time!:,Gabrielle Townsend,5 hrs and 10 mins,$14.95,English,12-12-22,5
Trolling for Love,BL Maxwell,4 hrs and 18 mins,$14.95,English,04-16-25,4
Shadow of Justice,Robin James,9 hrs and 19 mins,$19.99,English,04-07-25,5
The Rotten Belly Society,Franklin Horton,7 hrs and 49 mins,$19.95,English,03-24-25,5
"Haumeah, Volume 4 (Demeter)",Alan D. Hansen,7 hrs and 49 mins,$19.95,English,07-31-24,5
A Court of Mist and Fury,Sarah J. Maas,23 hrs and 16 mins,$25.79,English,05-03-16,5
An Education in Magical Affairs: An Isekai LitRPG,SourpatchHero,16 hrs,$49.90,English,05-20-25,Not rated yet
The Crooked Shard,A.C. Salter,11 hrs and 57 mins,$24.95,English,04-16-25,4
